"subject" "session" "item" "cond" "amplitude_prestim" "amplitude_n400" "amplitude_p600" "roi" "sem" "syn"
"48" 2 "s1" 60 225 -7.84001650165016 3.13454125412541 1.33360816777042 "centro-parietal" -0.5 -0.5
"49" 2 "s2" 61 235 1.73543399339934 -4.30301155115512 2.89240121412803 "centro-parietal" 0.5 -0.5
"50" 2 "s2" 62 245 0.868409240924093 0.0986839933993395 3.8151440397351 "centro-parietal" -0.5 0.5
"51" 2 "s2" 63 255 -3.22918481848185 1.54661138613861 1.67772185430464 "centro-parietal" 0.5 0.5
"52" 2 "s2" 64 225 0.505155115511551 -15.8294075907591 2.52264900662252 "centro-parietal" -0.5 -0.5
"53" 2 "s2" 65 235 -1.44743811881188 -6.14047359735974 3.33473730684327 "centro-parietal" 0.5 -0.5
"54" 2 "s2" 66 245 2.13701237623762 -1.08305610561056 1.61046964679912 "centro-parietal" -0.5 0.5
"55" 2 "s2" 67 255 -1.65519471947195 -1.38640429042904 -0.75371302428256 "centro-parietal" 0.5 0.5
"56" 2 "s2" 68 225 1.47289108910891 1.82432838283828 3.28584271523179 "centro-parietal" -0.5 -0.5
"57" 2 "s2" 69 235 -1.24569719471947 -0.356844059405941 4.00365066225165 "centro-parietal" 0.5 -0.5
"58" 2 "s2" 70 245 4.93097937293729 0.350601485148516 0.243576710816777 "centro-parietal" -0.5 0.5
"59" 2 "s2" 71 255 8.00319389438944 -8.04425577557755 -1.97815176600442 "centro-parietal" 0.5 0.5
"60" 2 "s2" 72 225 3.06194059405941 -3.64815841584158 -3.58566335540839 "centro-parietal" -0.5 -0.5
"61" 2 "s2" 73 235 -4.93603382838284 -8.26733333333332 0.387111479028698 "centro-parietal" 0.5 -0.5
"62" 2 "s2" 74 245 -7.82143811881188 12.6344777227723 5.47827924944812 "centro-parietal" -0.5 0.5
"63" 2 "s2" 75 255 -2.12618399339934 2.80617079207921 1.44809547461369 "centro-parietal" 0.5 0.5
"64" 2 "s2" 76 225 0.949575907590758 3.01699174917492 -3.41946578366446 "centro-parietal" -0.5 -0.5
"65" 2 "s2" 77 235 -1.6279801980198 5.84209075907591 7.98519150110375 "centro-parietal" 0.5 -0.5
