"item" "subj" "cond" "dur"
"1" 1 1 "a" 0.614439185431419
"2" 1 2 "a" 0.58738946789889
"3" 1 3 "a" 0.694512991339886
"4" 1 4 "a" 0.568420805771142
"5" 1 5 "a" 0.440400451614966
"6" 1 6 "a" 0.546509742910357
"7" 1 7 "a" 0.946494028274369
"8" 1 8 "a" 0.579037123921895
"9" 1 9 "a" 0.453133985494171
"10" 1 10 "a" 0.481637062349453
"11" 1 11 "a" 0.588509641629167
"12" 1 12 "a" 0.371781065111427
"13" 1 13 "a" 0.491454311515523
"14" 1 14 "a" 0.629283470018677
"15" 2 1 "a" 0.549221522609602
"16" 2 2 "a" 0.431878184289461
"17" 2 3 "a" 0.472802889582904
"18" 2 4 "a" 0.441429931602019
"19" 2 5 "a" 0.500624249465862
"20" 2 6 "a" 0.521944421820363
"21" 2 7 "a" 0.583053972390362
"22" 2 8 "a" 0.381556862523667
"23" 2 9 "a" 0.40501547611605
"24" 2 10 "a" 0.469562238866379
"25" 2 11 "a" 0.400082471326613
"26" 2 12 "a" 0.419945499830802
"27" 2 13 "a" 0.510438750001864
"28" 2 14 "a" 0.416947620670501
"29" 3 1 "a" 0.583997958681414
"30" 3 2 "a" 0.548918087842146
"31" 3 3 "a" 0.847579858451683
"32" 3 4 "a" 0.645984375940073
"33" 3 5 "a" 0.549965346966411
"34" 3 6 "a" 0.621523820214049
"35" 3 7 "a" 0.628657772022718
"36" 3 8 "a" 0.525360091462949
"37" 3 9 "a" 0.665557224356616
"38" 3 10 "a" 0.608511205868625
"39" 3 11 "a" 0.549343437922743
"40" 3 12 "a" 0.417769048805229
"41" 3 13 "a" 0.523580848001332
"42" 3 14 "a" 0.441295107050265
"43" 4 1 "a" 0.469280550837389
"44" 4 2 "a" 0.542379166407697
"45" 4 3 "a" 0.449757970268399
"46" 4 4 "a" 0.571105744502185
"47" 4 5 "a" 0.449862408318838
"48" 4 6 "a" 0.525017389876783
"49" 4 7 "a" 0.806650897167122
"50" 4 8 "a" 0.541045420603102
"51" 4 9 "a" 0.464835724160537
"52" 4 10 "a" 0.584638471810865
"53" 4 11 "a" 0.492466022018927
"54" 4 12 "a" 0.406782731584931
"55" 4 13 "a" 0.397300791487259
"56" 4 14 "a" 0.397054516445603
"57" 5 1 "a" 0.6234766614161
"58" 5 2 "a" 0.578541881404494
"59" 5 3 "a" 0.590382966764614
"60" 5 4 "a" 0.551407977690709
"61" 5 5 "a" 0.735737595148163
"62" 5 6 "a" 0.630729545143748
"63" 5 7 "a" 0.928963515684571
"64" 5 8 "a" 0.535625466774182
"65" 5 9 "a" 1.16894537719303
"66" 5 10 "a" 0.658530028949394
"67" 5 11 "a" 0.376319003071232
"68" 5 12 "a" 1.71446805788444
"69" 5 13 "a" 0.53851345164043
"70" 5 14 "a" 0.550890162820302
"71" 6 1 "a" 0.529618782603274
"72" 6 2 "a" 0.511181369321627
"73" 6 3 "a" 0.610295313954052
"74" 6 4 "a" 0.441157274044197
"75" 6 5 "a" 0.520177743453007
"76" 6 6 "a" 0.538309338615237
"77" 6 7 "a" 0.593801211714242
"78" 6 8 "a" 0.477480686953537
"79" 6 9 "a" 0.433551740969544
"80" 6 10 "a" 0.549851552477625
"81" 6 11 "a" 0.445394721954213
"82" 6 12 "a" 0.342544441034173
"83" 6 13 "a" 0.456178060451331
"84" 6 14 "a" 0.563474388442028
"85" 7 1 "a" 0.448766696574293
"86" 7 2 "a" 0.540660409042283
"87" 7 3 "a" 0.527994981069518
"88" 7 4 "a" 0.425870765353476
"89" 7 5 "a" 0.426232659237098
"90" 7 6 "a" 0.580642911210624
"91" 7 7 "a" 0.673561362729453
"92" 7 8 "a" 0.680297835629353
"93" 7 9 "a" 0.400423662784282
"94" 7 10 "a" 0.632125264964234
"95" 7 11 "a" 0.504440556175906
"96" 7 12 "a" 0.476927127387662
"97" 7 13 "a" 0.479178599996521
"98" 7 14 "a" 0.463993823919874
"99" 8 1 "a" 0.577782611109045
"100" 8 2 "a" 0.527414464995435
"101" 8 3 "a" 0.490106974605041
"102" 8 4 "a" 0.457511603869009
"103" 8 5 "a" 0.432951544916856
"104" 8 6 "a" 0.549860922451393
"105" 8 7 "a" 0.546468485676268
"106" 8 8 "a" 0.45301479594324
"107" 8 9 "a" 0.436547319943458
"108" 8 10 "a" 0.538796975243096
"109" 8 11 "a" 0.558371916103193
"110" 8 12 "a" 0.411597276129697
"111" 8 13 "a" 0.440781972244196
"112" 8 14 "a" 0.429776191455442
"113" 9 1 "a" 0.718526301132585
"114" 9 2 "a" 0.525165594836821
"115" 9 3 "a" 0.709430217776319
"116" 9 4 "a" 0.424821328859087
