"Sentence" "Speaker_id" "N2_dur.2" "N2_dur.1"
"1" "1" "1" 0.496502564068435 0.614439185431419
"2" "1" "2" 0.479788848446496 0.58738946789889
"3" "1" "3" 0.547158540685845 0.694512991339886
"4" "1" "4" 0.378359728587718 0.568420805771142
"5" "1" "5" 0.567194815065774 0.440400451614966
"6" "1" "6" 0.51830895752596 0.546509742910357
"7" "1" "7" 0.595947249150119 0.946494028274369
"8" "1" "8" 0.639493564135483 0.579037123921895
"9" "1" "9" 0.484641146799192 0.453133985494171
"10" "1" "10" 0.59541413126087 0.481637062349453
"11" "1" "11" 0.437240408761444 0.588509641629167
"12" "1" "12" 0.382093943319794 0.371781065111427
"13" "1" "13" 0.404199823683302 0.491454311515523
"14" "1" "14" 0.383477723789457 0.629283470018677
"15" "2" "1" 0.507224002056722 0.549221522609602
"16" "2" "2" 0.63343817281394 0.431878184289461
"17" "2" "3" 0.536278605158739 0.472802889582904
"18" "2" "4" 0.567273047669729 0.441429931602019
"19" "2" "5" 0.449476115963765 0.500624249465862
"20" "2" "6" 0.565113844244985 0.521944421820363
"21" "2" "7" 0.902113718525447 0.583053972390362
"22" "2" "8" 0.442137885561036 0.381556862523667
"23" "2" "9" 0.460222569127224 0.40501547611605
"24" "2" "10" 0.506483298563448 0.469562238866379
"25" "2" "11" 0.383891321527325 0.400082471326613
"26" "2" "12" 0.417745275265772 0.419945499830802
"27" "2" "13" 0.511307750816734 0.510438750001864
"28" "2" "14" 0.912177318504934 0.416947620670501
"29" "3" "1" 0.688980222748624 0.583997958681414
"30" "3" "2" 0.580770721964903 0.548918087842146
"31" "3" "3" 0.636340253207863 0.847579858451683
"32" "3" "4" 0.72051515054584 0.645984375940073
"33" "3" "5" 0.487859335097545 0.549965346966411
"34" "3" "6" 0.659436706179634 0.621523820214049
"35" "3" "7" 1.14374383281659 0.628657772022718
"36" "3" "8" 0.796500485171991 0.525360091462949
"37" "3" "9" 0.593307555171326 0.665557224356616
"38" "3" "10" 0.58987362432245 0.608511205868625
"39" "3" "11" 0.531915508404985 0.549343437922743
"40" "3" "12" 0.46301000461786 0.417769048805229
"41" "3" "13" 0.530451671809843 0.523580848001332
"42" "3" "14" 0.523530766899253 0.441295107050265
"43" "4" "1" 0.664333569936043 0.469280550837389
"44" "4" "2" 0.566457316889467 0.542379166407697
"45" "4" "3" 0.600389860728376 0.449757970268399
"46" "4" "4" 0.631500829661792 0.571105744502185
"47" "4" "5" 0.5232078977863 0.449862408318838
"48" "4" "6" 0.534797669729167 0.525017389876783
"49" "4" "7" 1.23448464694956 0.806650897167122
"50" "4" "8" 0.526383566101443 0.541045420603102
"51" "4" "9" 0.579598615531828 0.464835724160537
"52" "4" "10" 0.636380166922548 0.584638471810865
"53" "4" "11" 0.427709595139193 0.492466022018927
"54" "4" "12" 0.475472993332177 0.406782731584931
"55" "4" "13" 0.668163965900607 0.397300791487259
"56" "4" "14" 0.871400243778405 0.397054516445603
"57" "5" "1" 0.369012346954031 0.6234766614161
"58" "5" "2" 0.313182485939242 0.578541881404494
"59" "5" "3" 0.456219300844945 0.590382966764614
"60" "5" "4" 0.39623149753094 0.551407977690709
"61" "5" "5" 0.388578072111223 0.735737595148163
"62" "5" "6" 0.404416893287921 0.630729545143748
"63" "5" "7" 0.440489212590364 0.928963515684571
"64" "5" "8" 0.379091862784796 0.535625466774182
"65" "5" "9" 0.507714191006998 1.16894537719303
"66" "5" "10" 0.385461586812016 0.658530028949394
"67" "5" "11" 0.541366620531473 0.376319003071232
