"subj" "item" "rt" "dist" "distance" "pred" "predability"
"5234" 7 7 761 -1 "short" -1 "predictable"
"5255" 7 3 664 -1 "short" -1 "predictable"
"5291" 7 21 774 -1 "short" 1 "unpredictable"
"5316" 7 12 614 1 "long" -1 "predictable"
"5396" 7 15 538 -1 "short" -1 "predictable"
"5458" 7 19 662 -1 "short" -1 "predictable"
"5492" 7 34 798 1 "long" 1 "unpredictable"
"5518" 7 26 725 1 "long" 1 "unpredictable"
"5540" 7 25 659 -1 "short" 1 "unpredictable"
"5593" 7 2 673 1 "long" 1 "unpredictable"
"5612" 7 31 745 -1 "short" -1 "predictable"
"5645" 7 16 615 1 "long" -1 "predictable"
"5712" 7 20 759 1 "long" -1 "predictable"
"5771" 7 29 748 -1 "short" 1 "unpredictable"
"5815" 7 11 582 -1 "short" -1 "predictable"
"5839" 7 18 649 1 "long" 1 "unpredictable"
"5894" 7 14 558 1 "long" 1 "unpredictable"
"5917" 7 28 691 1 "long" -1 "predictable"
"5942" 7 35 650 -1 "short" -1 "predictable"
"5988" 7 1 696 -1 "short" 1 "unpredictable"
"6054" 7 32 713 1 "long" -1 "predictable"
"6088" 7 24 693 1 "long" -1 "predictable"
"6133" 7 9 664 -1 "short" 1 "unpredictable"
"6186" 7 30 648 1 "long" 1 "unpredictable"
"6239" 7 4 696 1 "long" -1 "predictable"
"6311" 8 23 493 1 "long" -1 "predictable"
"6379" 8 26 558 -1 "short" -1 "predictable"
"6403" 8 3 427 1 "long" -1 "predictable"
"6431" 8 19 877 1 "long" -1 "predictable"
"6455" 8 9 579 1 "long" 1 "unpredictable"
"6489" 8 18 412 -1 "short" -1 "predictable"
"6510" 8 12 438 -1 "short" 1 "unpredictable"
"6551" 8 8 352 -1 "short" 1 "unpredictable"
"6590" 8 32 1994 -1 "short" 1 "unpredictable"
"6615" 8 10 324 -1 "short" -1 "predictable"
"6660" 8 36 319 -1 "short" 1 "unpredictable"
"6686" 8 21 370 1 "long" 1 "unpredictable"
"6734" 8 25 274 1 "long" 1 "unpredictable"
"6754" 8 20 330 -1 "short" 1 "unpredictable"
"6805" 8 31 289 1 "long" -1 "predictable"
"6890" 8 29 477 1 "long" 1 "unpredictable"
"6929" 8 28 671 -1 "short" 1 "unpredictable"
"7002" 8 33 1841 1 "long" 1 "unpredictable"
"7046" 8 17 444 1 "long" 1 "unpredictable"
