"subj" "item" "rt" "dist" "distance" "pred" "predability"
"22636" 18 18 712 -1 "short" 1 "unpredictable"
"22668" 18 15 630 1 "long" 1 "unpredictable"
"22695" 18 29 605 1 "long" -1 "predictable"
"22728" 18 19 489 1 "long" 1 "unpredictable"
"22751" 18 16 469 -1 "short" -1 "predictable"
"22781" 18 4 642 -1 "short" -1 "predictable"
"22839" 18 33 941 1 "long" -1 "predictable"
"22891" 18 14 480 -1 "short" 1 "unpredictable"
"22940" 18 1 558 1 "long" -1 "predictable"
"22990" 18 34 625 -1 "short" 1 "unpredictable"
"23046" 18 8 418 -1 "short" -1 "predictable"
"23067" 18 10 616 -1 "short" 1 "unpredictable"
"23088" 18 20 484 -1 "short" -1 "predictable"
"23110" 18 12 508 -1 "short" -1 "predictable"
"23161" 18 30 514 -1 "short" 1 "unpredictable"
"23207" 18 9 463 1 "long" -1 "predictable"
"23237" 18 27 588 1 "long" 1 "unpredictable"
"23345" 18 36 565 -1 "short" -1 "predictable"
"23410" 18 5 792 1 "long" -1 "predictable"
"23444" 18 28 540 -1 "short" -1 "predictable"
"23528" 19 6 1011 1 "long" 1 "unpredictable"
"23563" 19 11 427 -1 "short" -1 "predictable"
"23584" 19 5 502 -1 "short" 1 "unpredictable"
"23642" 19 36 401 1 "long" -1 "predictable"
"23707" 19 16 524 1 "long" -1 "predictable"
"23737" 19 35 407 -1 "short" -1 "predictable"
"23800" 19 21 443 -1 "short" 1 "unpredictable"
"23825" 19 14 489 1 "long" 1 "unpredictable"
"23846" 19 1 391 -1 "short" 1 "unpredictable"
"23882" 19 8 625 1 "long" -1 "predictable"
"23917" 19 22 585 1 "long" 1 "unpredictable"
"23947" 19 20 416 1 "long" -1 "predictable"
"23984" 19 30 750 1 "long" 1 "unpredictable"
"24041" 19 25 336 -1 "short" 1 "unpredictable"
"24103" 19 17 469 -1 "short" 1 "unpredictable"
"24127" 19 3 377 -1 "short" -1 "predictable"
"24152" 19 29 416 -1 "short" 1 "unpredictable"
"24223" 19 15 365 -1 "short" -1 "predictable"
"24250" 19 33 374 -1 "short" 1 "unpredictable"
"24293" 19 12 332 1 "long" -1 "predictable"
"24356" 19 4 516 1 "long" -1 "predictable"
"24381" 19 10 402 1 "long" 1 "unpredictable"
"24402" 19 19 365 -1 "short" -1 "predictable"
"24423" 19 23 280 -1 "short" -1 "predictable"
"24491" 19 28 400 1 "long" -1 "predictable"
"24536" 19 32 466 1 "long" -1 "predictable"
"24577" 19 7 353 -1 "short" -1 "predictable"
"24598" 19 27 383 -1 "short" -1 "predictable"
"24641" 19 9 444 -1 "short" 1 "unpredictable"
"24709" 19 2 329 1 "long" 1 "unpredictable"
"24759" 19 18 598 1 "long" 1 "unpredictable"
"24805" 19 34 1172 1 "long" 1 "unpredictable"
"24848" 19 13 439 -1 "short" 1 "unpredictable"
"24887" 19 31 394 -1 "short" -1 "predictable"
"24955" 19 26 377 1 "long" 1 "unpredictable"
"24979" 19 24 364 1 "long" -1 "predictable"
"25108" 20 5 969 1 "long" 1 "unpredictable"
"25132" 20 30 985 -1 "short" -1 "predictable"
"25159" 20 25 1307 1 "long" 1 "unpredictable"
"25188" 20 4 839 -1 "short" 1 "unpredictable"
"25280" 20 14 1023 -1 "short" -1 "predictable"
"25332" 20 33 975 1 "long" 1 "unpredictable"
"25357" 20 36 419 -1 "short" 1 "unpredictable"
"25387" 20 28 2468 -1 "short" 1 "unpredictable"
"25505" 20 27 550 1 "long" -1 "predictable"
"25548" 20 2 470 -1 "short" -1 "predictable"
"25600" 20 32 532 -1 "short" 1 "unpredictable"
"25671" 20 18 495 -1 "short" -1 "predictable"
"25704" 20 24 478 -1 "short" 1 "unpredictable"
"25746" 20 8 405 -1 "short" 1 "unpredictable"
"25795" 20 6 403 -1 "short" -1 "predictable"
"25818" 20 1 586 1 "long" 1 "unpredictable"
"25837" 20 20 544 -1 "short" 1 "unpredictable"
"25865" 20 12 462 -1 "short" 1 "unpredictable"
"25896" 20 13 380 1 "long" 1 "unpredictable"
"25964" 20 31 342 1 "long" -1 "predictable"
"25989" 20 11 478 1 "long" -1 "predictable"
"26024" 20 26 325 -1 "short" -1 "predictable"
"26074" 20 15 450 1 "long" -1 "predictable"
"26111" 20 9 296 1 "long" 1 "unpredictable"
"26135" 20 19 266 1 "long" -1 "predictable"
"26171" 20 17 542 1 "long" 1 "unpredictable"
"26207" 20 3 242 1 "long" -1 "predictable"
"26243" 20 22 233 -1 "short" -1 "predictable"
"26281" 20 23 465 1 "long" -1 "predictable"
"26343" 20 34 309 -1 "short" -1 "predictable"
"26368" 20 21 371 1 "long" 1 "unpredictable"
"26417" 20 10 381 -1 "short" -1 "predictable"
"26437" 20 16 351 -1 "short" 1 "unpredictable"
"26492" 20 7 279 1 "long" -1 "predictable"
"26545" 20 35 479 1 "long" -1 "predictable"
"26575" 20 29 329 1 "long" 1 "unpredictable"
"26656" 21 27 768 -1 "short" 1 "unpredictable"
"26694" 21 24 771 1 "long" 1 "unpredictable"
"26728" 21 4 830 1 "long" 1 "unpredictable"
"26783" 21 30 2645 1 "long" -1 "predictable"
"26808" 21 9 1522 -1 "short" -1 "predictable"
"26858" 21 8 2196 1 "long" 1 "unpredictable"
"26939" 21 5 846 -1 "short" -1 "predictable"
"26992" 21 31 1269 -1 "short" 1 "unpredictable"
"27034" 21 18 1222 1 "long" -1 "predictable"
"27116" 21 6 463 1 "long" -1 "predictable"
"27137" 21 32 1985 1 "long" 1 "unpredictable"
"27207" 21 13 961 -1 "short" -1 "predictable"
"27236" 21 16 1914 1 "long" 1 "unpredictable"
"27266" 21 11 467 -1 "short" 1 "unpredictable"
"27314" 21 33 462 -1 "short" -1 "predictable"
"27338" 21 28 805 1 "long" 1 "unpredictable"
"27386" 21 12 1011 1 "long" 1 "unpredictable"
"27422" 21 26 1462 1 "long" -1 "predictable"
"27495" 21 2 770 1 "long" -1 "predictable"
"27519" 21 10 1536 1 "long" -1 "predictable"
"27558" 21 34 516 1 "long" -1 "predictable"
"27593" 21 20 640 1 "long" 1 "unpredictable"
"27632" 21 17 847 -1 "short" -1 "predictable"
"27663" 21 29 565 -1 "short" -1 "predictable"
"27683" 21 23 1513 -1 "short" 1 "unpredictable"
"27718" 21 15 1588 -1 "short" 1 "unpredictable"
"27743" 21 35 392 -1 "short" 1 "unpredictable"
"27782" 21 14 481 1 "long" -1 "predictable"
"27805" 21 7 2202 -1 "short" 1 "unpredictable"
"27859" 21 19 528 -1 "short" 1 "unpredictable"
"27900" 21 25 420 -1 "short" -1 "predictable"
"27934" 21 22 465 1 "long" -1 "predictable"
"27982" 21 21 1640 -1 "short" -1 "predictable"
"28006" 21 36 455 1 "long" 1 "unpredictable"
"28072" 21 3 423 -1 "short" 1 "unpredictable"
"28119" 21 1 357 -1 "short" -1 "predictable"
"28216" 22 20 772 -1 "short" -1 "predictable"
"28238" 22 4 699 -1 "short" -1 "predictable"
"28287" 22 27 447 1 "long" 1 "unpredictable"
"28309" 22 24 453 -1 "short" -1 "predictable"
"28338" 22 26 713 -1 "short" 1 "unpredictable"
"28365" 22 19 643 1 "long" 1 "unpredictable"
"28387" 22 22 702 -1 "short" 1 "unpredictable"
"28420" 22 28 543 -1 "short" -1 "predictable"
"28447" 22 3 508 1 "long" 1 "unpredictable"
"28490" 22 32 1174 -1 "short" -1 "predictable"
"28520" 22 7 824 1 "long" 1 "unpredictable"
"28573" 22 33 876 1 "long" -1 "predictable"
"28597" 22 23 598 1 "long" 1 "unpredictable"
"28638" 22 6 471 -1 "short" 1 "unpredictable"
"28662" 22 30 640 -1 "short" 1 "unpredictable"
"28747" 22 14 615 -1 "short" 1 "unpredictable"
"28791" 22 1 470 1 "long" -1 "predictable"
"28815" 22 15 1643 1 "long" 1 "unpredictable"
"28843" 22 21 538 1 "long" -1 "predictable"
"28880" 22 35 526 1 "long" 1 "unpredictable"
"28922" 22 16 900 -1 "short" -1 "predictable"
"28940" 22 2 419 -1 "short" 1 "unpredictable"
"29050" 22 11 494 1 "long" 1 "unpredictable"
"29085" 22 31 585 1 "long" 1 "unpredictable"
"29161" 22 9 539 1 "long" -1 "predictable"
"29240" 22 25 681 1 "long" -1 "predictable"
"29318" 22 13 485 1 "long" -1 "predictable"
"29343" 22 5 521 1 "long" -1 "predictable"
"29389" 22 34 1201 -1 "short" 1 "unpredictable"
"29423" 22 17 585 1 "long" -1 "predictable"
"29444" 22 12 479 -1 "short" -1 "predictable"
"29463" 22 8 442 -1 "short" -1 "predictable"
"29485" 22 36 849 -1 "short" -1 "predictable"
"29536" 22 18 780 -1 "short" 1 "unpredictable"
"29560" 22 10 876 -1 "short" 1 "unpredictable"
"29649" 22 29 506 1 "long" -1 "predictable"
"29779" 23 29 1266 -1 "short" 1 "unpredictable"
"29865" 23 14 998 1 "long" 1 "unpredictable"
"29911" 23 32 1012 1 "long" -1 "predictable"
"29952" 23 11 457 -1 "short" -1 "predictable"
"29988" 23 6 541 1 "long" 1 "unpredictable"
"30040" 23 15 728 -1 "short" -1 "predictable"
"30077" 23 10 1060 1 "long" 1 "unpredictable"
"30125" 23 30 765 1 "long" 1 "unpredictable"
"30151" 23 24 961 1 "long" -1 "predictable"
"30207" 23 8 746 1 "long" -1 "predictable"
"30237" 23 33 1294 -1 "short" 1 "unpredictable"
"30319" 23 13 1199 -1 "short" 1 "unpredictable"
"30366" 23 21 1505 -1 "short" 1 "unpredictable"
"30409" 23 9 503 -1 "short" 1 "unpredictable"
"30439" 23 3 403 -1 "short" -1 "predictable"
"30486" 23 36 767 1 "long" -1 "predictable"
"30516" 23 7 648 -1 "short" -1 "predictable"
"30548" 23 22 545 1 "long" 1 "unpredictable"
"30575" 23 2 424 1 "long" 1 "unpredictable"
"30605" 23 27 419 -1 "short" -1 "predictable"
"30651" 23 12 483 1 "long" -1 "predictable"
"30697" 23 35 1031 -1 "short" -1 "predictable"
"30745" 23 28 758 1 "long" -1 "predictable"
"30768" 23 23 431 -1 "short" -1 "predictable"
"30815" 23 5 748 -1 "short" 1 "unpredictable"
"30855" 23 20 555 1 "long" -1 "predictable"
"30880" 23 25 472 -1 "short" 1 "unpredictable"
"30902" 23 1 582 -1 "short" 1 "unpredictable"
"30927" 23 18 935 1 "long" 1 "unpredictable"
"30972" 23 4 368 1 "long" -1 "predictable"
"30998" 23 26 418 1 "long" 1 "unpredictable"
"31057" 23 16 424 1 "long" -1 "predictable"
"31075" 23 19 502 -1 "short" -1 "predictable"
"31096" 23 17 356 -1 "short" 1 "unpredictable"
"31173" 23 34 442 1 "long" 1 "unpredictable"
"31228" 23 31 439 -1 "short" -1 "predictable"
"31340" 24 35 1121 1 "long" -1 "predictable"
"31384" 24 22 718 -1 "short" -1 "predictable"
"31412" 24 12 2129 -1 "short" 1 "unpredictable"
"31479" 24 16 2046 -1 "short" 1 "unpredictable"
"31513" 24 36 536 -1 "short" 1 "unpredictable"
"31534" 24 14 639 -1 "short" -1 "predictable"
"31580" 24 28 847 -1 "short" 1 "unpredictable"
"31614" 24 9 915 1 "long" 1 "unpredictable"
"31645" 24 32 1033 -1 "short" 1 "unpredictable"
"31703" 24 6 511 -1 "short" -1 "predictable"
"31736" 24 23 652 1 "long" -1 "predictable"
"31762" 24 30 662 -1 "short" -1 "predictable"
"31837" 24 13 2025 1 "long" 1 "unpredictable"
"31880" 24 21 1133 1 "long" 1 "unpredictable"
"31914" 24 19 908 1 "long" -1 "predictable"
"31959" 24 3 636 1 "long" -1 "predictable"
"31995" 24 1 477 1 "long" 1 "unpredictable"
"32018" 24 29 870 1 "long" 1 "unpredictable"
"32071" 24 31 395 1 "long" -1 "predictable"
"32093" 24 10 387 -1 "short" -1 "predictable"
"32113" 24 2 569 -1 "short" -1 "predictable"
"32171" 24 24 453 -1 "short" 1 "unpredictable"
"32245" 24 33 866 1 "long" 1 "unpredictable"
"32273" 24 26 539 -1 "short" -1 "predictable"
"32307" 24 15 609 1 "long" -1 "predictable"
"32366" 24 27 613 1 "long" -1 "predictable"
"32394" 24 25 376 1 "long" 1 "unpredictable"
"32439" 24 4 556 -1 "short" 1 "unpredictable"
"32483" 24 7 293 1 "long" -1 "predictable"
"32505" 24 20 316 -1 "short" 1 "unpredictable"
"32537" 24 8 403 -1 "short" 1 "unpredictable"
"32563" 24 17 759 1 "long" 1 "unpredictable"
"32604" 24 34 428 -1 "short" -1 "predictable"
"32688" 24 18 274 -1 "short" -1 "predictable"
"32721" 24 11 381 1 "long" -1 "predictable"
"32756" 24 5 432 1 "long" 1 "unpredictable"
"32930" 25 17 469 -1 "short" -1 "predictable"
"32964" 25 30 557 1 "long" -1 "predictable"
"32988" 25 25 788 -1 "short" -1 "predictable"
"33022" 25 6 1435 1 "long" -1 "predictable"
"33057" 25 2 404 1 "long" -1 "predictable"
"33083" 25 34 1041 1 "long" -1 "predictable"
"33126" 25 9 789 -1 "short" -1 "predictable"
"33189" 25 5 1032 -1 "short" -1 "predictable"
"33230" 25 23 1608 -1 "short" 1 "unpredictable"
"33277" 25 3 512 -1 "short" 1 "unpredictable"
"33327" 25 27 738 -1 "short" 1 "unpredictable"
"33421" 25 26 945 1 "long" -1 "predictable"
"33453" 25 1 446 -1 "short" -1 "predictable"
"33489" 25 22 1023 1 "long" -1 "predictable"
"33517" 25 32 721 1 "long" 1 "unpredictable"
"33541" 25 13 539 -1 "short" -1 "predictable"
"33606" 25 21 449 -1 "short" -1 "predictable"
"33671" 25 24 653 1 "long" 1 "unpredictable"
"33755" 25 20 934 1 "long" 1 "unpredictable"
"33786" 25 11 607 -1 "short" 1 "unpredictable"
"33831" 25 4 628 1 "long" 1 "unpredictable"
"33848" 25 31 755 -1 "short" 1 "unpredictable"
"33882" 25 18 658 1 "long" -1 "predictable"
"33926" 25 7 470 -1 "short" 1 "unpredictable"
"33970" 25 8 501 1 "long" 1 "unpredictable"
"33996" 25 10 559 1 "long" -1 "predictable"
"34028" 25 33 679 -1 "short" -1 "predictable"
"34052" 25 16 545 1 "long" 1 "unpredictable"
"34089" 25 36 2181 1 "long" 1 "unpredictable"
"34146" 25 19 659 -1 "short" 1 "unpredictable"
"34197" 25 35 636 -1 "short" 1 "unpredictable"
"34220" 25 15 502 -1 "short" 1 "unpredictable"
"34245" 25 29 472 -1 "short" -1 "predictable"
"34295" 25 28 588 1 "long" 1 "unpredictable"
"34329" 25 12 422 1 "long" 1 "unpredictable"
"34368" 25 14 441 1 "long" -1 "predictable"
"34463" 26 24 440 -1 "short" -1 "predictable"
"34505" 26 12 710 -1 "short" -1 "predictable"
"34529" 26 19 1332 1 "long" 1 "unpredictable"
"34556" 26 9 521 1 "long" -1 "predictable"
"34647" 26 34 504 -1 "short" 1 "unpredictable"
"34701" 26 16 463 -1 "short" -1 "predictable"
"34734" 26 17 435 1 "long" -1 "predictable"
"34760" 26 20 435 -1 "short" -1 "predictable"
"34805" 26 8 391 -1 "short" -1 "predictable"
"34824" 26 22 424 -1 "short" 1 "unpredictable"
"34850" 26 2 308 -1 "short" 1 "unpredictable"
"34892" 26 27 423 1 "long" 1 "unpredictable"
"34919" 26 3 419 1 "long" 1 "unpredictable"
"34941" 26 36 409 -1 "short" -1 "predictable"
"34973" 26 23 465 1 "long" 1 "unpredictable"
"35023" 26 35 444 1 "long" 1 "unpredictable"
"35080" 26 6 355 -1 "short" 1 "unpredictable"
"35105" 26 29 369 1 "long" -1 "predictable"
"35129" 26 31 390 1 "long" 1 "unpredictable"
"35160" 26 25 484 1 "long" -1 "predictable"
"35198" 26 10 513 -1 "short" 1 "unpredictable"
"35253" 26 15 381 1 "long" 1 "unpredictable"
"35314" 26 11 374 1 "long" 1 "unpredictable"
"35335" 26 26 323 -1 "short" 1 "unpredictable"
"35379" 26 28 336 -1 "short" -1 "predictable"
"35407" 26 21 696 1 "long" -1 "predictable"
"35475" 26 4 388 -1 "short" -1 "predictable"
"35500" 26 1 465 1 "long" -1 "predictable"
"35520" 26 18 401 -1 "short" 1 "unpredictable"
"35576" 26 14 344 -1 "short" 1 "unpredictable"
"35615" 26 5 382 1 "long" -1 "predictable"
"35664" 26 30 317 -1 "short" 1 "unpredictable"
"35750" 26 7 621 1 "long" 1 "unpredictable"
"35826" 26 32 379 -1 "short" -1 "predictable"
"35868" 26 33 373 1 "long" -1 "predictable"
"35900" 26 13 369 1 "long" -1 "predictable"
"36036" 27 36 433 1 "long" -1 "predictable"
"36070" 27 6 1331 1 "long" 1 "unpredictable"
"36100" 27 1 364 -1 "short" 1 "unpredictable"
"36121" 27 27 573 -1 "short" -1 "predictable"
"36194" 27 31 900 -1 "short" -1 "predictable"
"36239" 27 30 1216 1 "long" 1 "unpredictable"
"36284" 27 18 1012 1 "long" 1 "unpredictable"
"36308" 27 10 2233 1 "long" 1 "unpredictable"
"36334" 27 8 439 1 "long" -1 "predictable"
"36386" 27 3 954 -1 "short" -1 "predictable"
"36411" 27 2 410 1 "long" 1 "unpredictable"
"36448" 27 25 742 -1 "short" 1 "unpredictable"
"36535" 27 5 482 -1 "short" 1 "unpredictable"
"36586" 27 4 343 1 "long" -1 "predictable"
"36608" 27 23 379 -1 "short" -1 "predictable"
"36646" 27 19 612 -1 "short" -1 "predictable"
"36685" 27 33 928 -1 "short" 1 "unpredictable"
"36754" 27 34 764 1 "long" 1 "unpredictable"
"36789" 27 29 277 -1 "short" 1 "unpredictable"
"36816" 27 32 347 1 "long" -1 "predictable"
"36877" 27 12 447 1 "long" -1 "predictable"
"36922" 27 28 456 1 "long" -1 "predictable"
"36967" 27 7 389 -1 "short" -1 "predictable"
"36993" 27 14 403 1 "long" 1 "unpredictable"
"37026" 27 24 432 1 "long" -1 "predictable"
"37046" 27 13 387 -1 "short" 1 "unpredictable"
"37149" 27 26 370 1 "long" 1 "unpredictable"
"37193" 27 16 341 1 "long" -1 "predictable"
"37227" 27 11 284 -1 "short" -1 "predictable"
"37256" 27 35 291 -1 "short" -1 "predictable"
"37280" 27 9 252 -1 "short" 1 "unpredictable"
"37367" 27 20 287 1 "long" -1 "predictable"
"37393" 27 22 358 1 "long" 1 "unpredictable"
"37432" 27 15 265 -1 "short" -1 "predictable"
"37467" 27 21 332 -1 "short" 1 "unpredictable"
"37500" 27 17 380 -1 "short" 1 "unpredictable"
"37599" 28 19 435 1 "long" -1 "predictable"
"37671" 28 20 409 -1 "short" 1 "unpredictable"
"37700" 28 13 693 1 "long" 1 "unpredictable"
"37722" 28 24 570 -1 "short" 1 "unpredictable"
"37743" 28 30 455 -1 "short" -1 "predictable"
"37781" 28 5 557 1 "long" 1 "unpredictable"
"37812" 28 33 423 1 "long" 1 "unpredictable"
"37862" 28 18 450 -1 "short" -1 "predictable"
"37935" 28 32 415 -1 "short" 1 "unpredictable"
"37991" 28 34 363 -1 "short" -1 "predictable"
"38016" 28 21 446 1 "long" 1 "unpredictable"
"38037" 28 10 373 -1 "short" -1 "predictable"
"38057" 28 14 363 -1 "short" -1 "predictable"
"38092" 28 36 423 -1 "short" 1 "unpredictable"
"38132" 28 17 342 1 "long" 1 "unpredictable"
"38155" 28 26 357 -1 "short" -1 "predictable"
"38213" 28 6 366 -1 "short" -1 "predictable"
"38235" 28 11 460 1 "long" -1 "predictable"
"38264" 28 3 339 1 "long" -1 "predictable"
"38313" 28 25 448 1 "long" 1 "unpredictable"
"38372" 28 31 392 1 "long" -1 "predictable"
"38393" 28 12 404 -1 "short" 1 "unpredictable"
"38469" 28 8 291 -1 "short" 1 "unpredictable"
"38564" 28 4 395 -1 "short" 1 "unpredictable"
"38623" 28 23 355 1 "long" -1 "predictable"
"38661" 28 2 332 -1 "short" -1 "predictable"
"38713" 28 7 396 1 "long" -1 "predictable"
"38755" 28 29 438 1 "long" 1 "unpredictable"
"38795" 28 28 343 -1 "short" 1 "unpredictable"
"38830" 28 9 333 1 "long" 1 "unpredictable"
"38862" 28 27 378 1 "long" -1 "predictable"
"38896" 28 15 375 1 "long" -1 "predictable"
"38963" 28 1 499 1 "long" 1 "unpredictable"
"38986" 28 35 418 1 "long" -1 "predictable"
"39031" 28 22 405 -1 "short" -1 "predictable"
"39090" 28 16 367 -1 "short" 1 "unpredictable"
"39159" 29 3 812 -1 "short" 1 "unpredictable"
"39206" 29 36 1036 1 "long" 1 "unpredictable"
"39293" 29 27 668 -1 "short" 1 "unpredictable"
"39315" 29 31 726 -1 "short" 1 "unpredictable"
"39359" 29 18 636 1 "long" -1 "predictable"
"39442" 29 12 686 1 "long" 1 "unpredictable"
"39507" 29 1 722 -1 "short" -1 "predictable"
"39549" 29 4 640 1 "long" 1 "unpredictable"
"39580" 29 13 434 -1 "short" -1 "predictable"
"39623" 29 11 692 -1 "short" 1 "unpredictable"
"39687" 29 9 614 -1 "short" -1 "predictable"
"39733" 29 8 612 1 "long" 1 "unpredictable"
"39771" 29 2 1534 1 "long" -1 "predictable"
"39829" 29 32 564 1 "long" 1 "unpredictable"
"39849" 29 35 507 -1 "short" 1 "unpredictable"
"39871" 29 5 675 -1 "short" -1 "predictable"
"39892" 29 23 600 -1 "short" 1 "unpredictable"
"39963" 29 15 537 -1 "short" 1 "unpredictable"
"39989" 29 22 392 1 "long" -1 "predictable"
"40013" 29 33 586 -1 "short" -1 "predictable"
"40035" 29 26 667 1 "long" -1 "predictable"
"40069" 29 10 454 1 "long" -1 "predictable"
"40088" 29 7 889 -1 "short" 1 "unpredictable"
"40135" 29 19 377 -1 "short" 1 "unpredictable"
"40178" 29 25 359 -1 "short" -1 "predictable"
"40214" 29 34 481 1 "long" -1 "predictable"
"40257" 29 28 423 1 "long" 1 "unpredictable"
"40290" 29 17 379 -1 "short" -1 "predictable"
"40336" 29 6 481 1 "long" -1 "predictable"
"40376" 29 29 489 -1 "short" -1 "predictable"
"40420" 29 20 389 1 "long" 1 "unpredictable"
"40447" 29 14 392 1 "long" -1 "predictable"
"40514" 29 24 414 1 "long" 1 "unpredictable"
"40547" 29 16 375 1 "long" 1 "unpredictable"
"40584" 29 21 480 -1 "short" -1 "predictable"
"40634" 29 30 406 1 "long" -1 "predictable"
"40744" 30 29 1969 1 "long" -1 "predictable"
"40764" 30 28 1852 -1 "short" -1 "predictable"
"40785" 30 14 682 -1 "short" 1 "unpredictable"
"40831" 30 30 1048 -1 "short" 1 "unpredictable"
"40885" 30 33 1281 1 "long" -1 "predictable"
"40920" 30 23 1081 1 "long" 1 "unpredictable"
"40946" 30 36 761 -1 "short" -1 "predictable"
"40979" 30 32 930 -1 "short" -1 "predictable"
"41015" 30 7 688 1 "long" 1 "unpredictable"
"41041" 30 35 1024 1 "long" 1 "unpredictable"
"41115" 30 34 1272 -1 "short" 1 "unpredictable"
"41161" 30 10 613 -1 "short" 1 "unpredictable"
"41215" 30 8 882 -1 "short" -1 "predictable"
"41298" 30 11 1238 1 "long" 1 "unpredictable"
"41326" 30 27 1006 1 "long" 1 "unpredictable"
"41405" 30 16 867 -1 "short" -1 "predictable"
"41437" 30 2 790 -1 "short" 1 "unpredictable"
"41487" 30 22 716 -1 "short" 1 "unpredictable"
"41523" 30 13 536 1 "long" -1 "predictable"
"41592" 30 6 529 -1 "short" 1 "unpredictable"
"41614" 30 26 652 -1 "short" 1 "unpredictable"
"41647" 30 15 756 1 "long" 1 "unpredictable"
"41679" 30 18 682 -1 "short" 1 "unpredictable"
"41719" 30 12 801 -1 "short" -1 "predictable"
"41750" 30 20 747 -1 "short" -1 "predictable"
"41796" 30 17 535 1 "long" -1 "predictable"
"41860" 30 5 1046 1 "long" -1 "predictable"
"41888" 30 19 875 1 "long" 1 "unpredictable"
"41958" 30 31 678 1 "long" 1 "unpredictable"
"41989" 30 3 537 1 "long" 1 "unpredictable"
"42021" 30 24 746 -1 "short" -1 "predictable"
"42057" 30 21 498 1 "long" -1 "predictable"
"42080" 30 1 714 1 "long" -1 "predictable"
"42151" 30 9 460 1 "long" -1 "predictable"
"42199" 30 25 571 1 "long" -1 "predictable"
"42218" 30 4 491 -1 "short" -1 "predictable"
"42291" 31 14 1287 1 "long" 1 "unpredictable"
"42315" 31 31 362 -1 "short" -1 "predictable"
"42392" 31 6 1406 1 "long" 1 "unpredictable"
"42438" 31 20 819 1 "long" -1 "predictable"
"42515" 31 32 469 1 "long" -1 "predictable"
"42544" 31 15 970 -1 "short" -1 "predictable"
"42582" 31 29 1156 -1 "short" 1 "unpredictable"
"42602" 31 27 633 -1 "short" -1 "predictable"
"42636" 31 23 455 -1 "short" -1 "predictable"
"42667" 31 25 2121 -1 "short" 1 "unpredictable"
"42691" 31 21 466 -1 "short" 1 "unpredictable"
"42720" 31 13 339 -1 "short" 1 "unpredictable"
"42789" 31 35 322 -1 "short" -1 "predictable"
"42814" 31 5 357 -1 "short" 1 "unpredictable"
"42852" 31 22 872 1 "long" 1 "unpredictable"
"42888" 31 8 361 1 "long" -1 "predictable"
"42932" 31 10 2409 1 "long" 1 "unpredictable"
"43003" 31 18 1271 1 "long" 1 "unpredictable"
"43029" 31 26 2066 1 "long" 1 "unpredictable"
"43094" 31 34 320 1 "long" 1 "unpredictable"
"43125" 31 19 425 -1 "short" -1 "predictable"
"43160" 31 7 381 -1 "short" -1 "predictable"
"43181" 31 9 411 -1 "short" 1 "unpredictable"
"43205" 31 28 351 1 "long" -1 "predictable"
"43259" 31 1 321 -1 "short" 1 "unpredictable"
"43293" 31 16 942 1 "long" -1 "predictable"
"43352" 31 33 401 -1 "short" 1 "unpredictable"
"43379" 31 24 854 1 "long" -1 "predictable"
"43465" 31 2 395 1 "long" 1 "unpredictable"
"43500" 31 30 465 1 "long" 1 "unpredictable"
"43541" 31 3 751 -1 "short" -1 "predictable"
"43566" 31 17 479 -1 "short" 1 "unpredictable"
"43618" 31 11 366 -1 "short" -1 "predictable"
"43652" 31 36 400 1 "long" -1 "predictable"
"43711" 31 12 432 1 "long" -1 "predictable"
"43734" 31 4 1464 1 "long" -1 "predictable"
"43863" 32 26 831 -1 "short" -1 "predictable"
"43956" 32 25 722 1 "long" 1 "unpredictable"
"43981" 32 4 779 -1 "short" 1 "unpredictable"
"44015" 32 9 996 1 "long" 1 "unpredictable"
"44037" 32 16 373 -1 "short" 1 "unpredictable"
"44066" 32 10 353 -1 "short" -1 "predictable"
"44108" 32 15 354 1 "long" -1 "predictable"
"44139" 32 7 338 1 "long" -1 "predictable"
"44169" 32 34 407 -1 "short" -1 "predictable"
"44261" 32 31 381 1 "long" -1 "predictable"
"44285" 32 17 463 1 "long" 1 "unpredictable"
"44316" 32 36 411 -1 "short" 1 "unpredictable"
"44351" 32 33 369 1 "long" 1 "unpredictable"
"44370" 32 14 815 -1 "short" -1 "predictable"
"44423" 32 8 354 -1 "short" 1 "unpredictable"
"44490" 32 12 393 -1 "short" 1 "unpredictable"
"44538" 32 1 328 1 "long" 1 "unpredictable"
"44562" 32 3 330 1 "long" -1 "predictable"
"44616" 32 24 302 -1 "short" 1 "unpredictable"
"44660" 32 11 429 1 "long" -1 "predictable"
"44690" 32 6 464 -1 "short" -1 "predictable"
"44771" 32 29 460 1 "long" 1 "unpredictable"
"44791" 32 32 400 -1 "short" 1 "unpredictable"
"44827" 32 23 389 1 "long" -1 "predictable"
"44855" 32 21 440 1 "long" 1 "unpredictable"
"44892" 32 18 367 -1 "short" -1 "predictable"
"44923" 32 20 455 -1 "short" 1 "unpredictable"
"44954" 32 22 818 -1 "short" -1 "predictable"
"44993" 32 13 468 1 "long" 1 "unpredictable"
"45016" 32 5 435 1 "long" 1 "unpredictable"
"45086" 32 19 348 1 "long" -1 "predictable"
"45131" 32 2 378 -1 "short" -1 "predictable"
"45154" 32 30 1141 -1 "short" -1 "predictable"
"45195" 32 35 385 1 "long" -1 "predictable"
"45252" 32 27 364 1 "long" -1 "predictable"
"45303" 32 28 383 -1 "short" 1 "unpredictable"
